GPU Prolog Script v1.14
This is a GPU node.
Enough GPUs available.
Allocating card 5
Loading real data from data/processed/crypto_data.parquet...
Prepared 138441 sequences of length 64
Launching HPC Training from config: config.yaml
Epoch 0: Train Loss -0.0355
Epoch 1: Train Loss -0.0342
Epoch 2: Train Loss 0.0381
Epoch 3: Train Loss 0.0381
Epoch 4: Train Loss 0.0383
Epoch 5: Train Loss 0.0380
Epoch 6: Train Loss 0.0383
Epoch 7: Train Loss 0.0382
Epoch 8: Train Loss 0.0382
Epoch 9: Train Loss 0.0379
Epoch 10: Train Loss 0.0384
Epoch 11: Train Loss -0.0263
Epoch 12: Train Loss -0.0364
Epoch 13: Train Loss -0.0359
Epoch 14: Train Loss -0.0353
Epoch 15: Train Loss -0.0362
Epoch 16: Train Loss -0.0355
Epoch 17: Train Loss -0.0358
Epoch 18: Train Loss -0.0360
Epoch 19: Train Loss -0.0356
Epoch 20: Train Loss -0.0356
Epoch 21: Train Loss -0.0361
Epoch 22: Train Loss -0.0358
Epoch 23: Train Loss -0.0358
Epoch 24: Train Loss -0.0357
Epoch 25: Train Loss -0.0357
Epoch 26: Train Loss -0.0357
Epoch 27: Train Loss -0.0361
Epoch 28: Train Loss -0.0359
Epoch 29: Train Loss -0.0361
Epoch 30: Train Loss -0.0356
Epoch 31: Train Loss -0.0356
Epoch 32: Train Loss -0.0361
Epoch 33: Train Loss -0.0360
Epoch 34: Train Loss -0.0356
Epoch 35: Train Loss -0.0359
Epoch 36: Train Loss -0.0355
Epoch 37: Train Loss -0.0356
Epoch 38: Train Loss -0.0356
Epoch 39: Train Loss -0.0359
Epoch 40: Train Loss -0.0356
Epoch 41: Train Loss -0.0361
Epoch 42: Train Loss -0.0357
Epoch 43: Train Loss -0.0357
Epoch 44: Train Loss -0.0360
Epoch 45: Train Loss -0.0358
Epoch 46: Train Loss -0.0355
Epoch 47: Train Loss -0.0356
Epoch 48: Train Loss -0.0358
Epoch 49: Train Loss -0.0362
Epoch 50: Train Loss -0.0358
Epoch 51: Train Loss -0.0362
Epoch 52: Train Loss -0.0362
Epoch 53: Train Loss -0.0352
Epoch 54: Train Loss -0.0357
Epoch 55: Train Loss -0.0357
Epoch 56: Train Loss -0.0359
Epoch 57: Train Loss -0.0360
Epoch 58: Train Loss -0.0360
Epoch 59: Train Loss -0.0356
Epoch 60: Train Loss -0.0356
Epoch 61: Train Loss -0.0354
Epoch 62: Train Loss -0.0358
Epoch 63: Train Loss -0.0357
Epoch 64: Train Loss -0.0357
Epoch 65: Train Loss -0.0358
Epoch 66: Train Loss -0.0354
Epoch 67: Train Loss -0.0358
Epoch 68: Train Loss -0.0362
Epoch 69: Train Loss -0.0365
Epoch 70: Train Loss -0.0363
Epoch 71: Train Loss -0.0357
Epoch 72: Train Loss -0.0363
Epoch 73: Train Loss -0.0357
Epoch 74: Train Loss -0.0359
Epoch 75: Train Loss -0.0362
Epoch 76: Train Loss -0.0353
Epoch 77: Train Loss -0.0360
Epoch 78: Train Loss -0.0362
Epoch 79: Train Loss -0.0358
Epoch 80: Train Loss -0.0358
Epoch 81: Train Loss -0.0355
Epoch 82: Train Loss -0.0356
Epoch 83: Train Loss -0.0356
Epoch 84: Train Loss -0.0357
Epoch 85: Train Loss -0.0361
Epoch 86: Train Loss -0.0365
Epoch 87: Train Loss -0.0358
Epoch 88: Train Loss -0.0354
Epoch 89: Train Loss -0.0361
Epoch 90: Train Loss -0.0364
Epoch 91: Train Loss -0.0358
Epoch 92: Train Loss -0.0360
Epoch 93: Train Loss -0.0357
Epoch 94: Train Loss -0.0359
Epoch 95: Train Loss -0.0357
Epoch 96: Train Loss -0.0354
Epoch 97: Train Loss -0.0360
Epoch 98: Train Loss -0.0358
Epoch 99: Train Loss -0.0357
Epoch 100: Train Loss -0.0358
Epoch 101: Train Loss -0.0357
Epoch 102: Train Loss -0.0354
Epoch 103: Train Loss -0.0360
Epoch 104: Train Loss -0.0354
Epoch 105: Train Loss -0.0355
Epoch 106: Train Loss -0.0357
Epoch 107: Train Loss -0.0358
Epoch 108: Train Loss -0.0362
Epoch 109: Train Loss -0.0358
Epoch 110: Train Loss -0.0351
Epoch 111: Train Loss -0.0359
Epoch 112: Train Loss -0.0356
Epoch 113: Train Loss -0.0363
Epoch 114: Train Loss -0.0355
Epoch 115: Train Loss -0.0356
Epoch 116: Train Loss -0.0358
Epoch 117: Train Loss -0.0360
Epoch 118: Train Loss -0.0355
Epoch 119: Train Loss -0.0361
Epoch 120: Train Loss -0.0354
Epoch 121: Train Loss -0.0356
Epoch 122: Train Loss -0.0359
Epoch 123: Train Loss -0.0357
Epoch 124: Train Loss -0.0359
Epoch 125: Train Loss -0.0356
Epoch 126: Train Loss -0.0359
Epoch 127: Train Loss -0.0361
Epoch 128: Train Loss -0.0349
Epoch 129: Train Loss -0.0361
Epoch 130: Train Loss -0.0352
Epoch 131: Train Loss -0.0359
Epoch 132: Train Loss -0.0361
Epoch 133: Train Loss -0.0352
Epoch 134: Train Loss -0.0361
Epoch 135: Train Loss -0.0354
Epoch 136: Train Loss -0.0351
Epoch 137: Train Loss -0.0353
Epoch 138: Train Loss -0.0362
Epoch 139: Train Loss -0.0359
Epoch 140: Train Loss -0.0352
Epoch 141: Train Loss -0.0356
Epoch 142: Train Loss -0.0360
Epoch 143: Train Loss -0.0358
Epoch 144: Train Loss -0.0354
Epoch 145: Train Loss -0.0356
Epoch 146: Train Loss -0.0356
Epoch 147: Train Loss -0.0358
Epoch 148: Train Loss -0.0361
Epoch 149: Train Loss -0.0359
Epoch 150: Train Loss -0.0361
Epoch 151: Train Loss -0.0355
Epoch 152: Train Loss -0.0361
Epoch 153: Train Loss -0.0360
Epoch 154: Train Loss -0.0354
Epoch 155: Train Loss -0.0361
Epoch 156: Train Loss -0.0354
Epoch 157: Train Loss -0.0357
Epoch 158: Train Loss -0.0360
Epoch 159: Train Loss -0.0356
Epoch 160: Train Loss -0.0359
Epoch 161: Train Loss -0.0358
Epoch 162: Train Loss -0.0359
Epoch 163: Train Loss -0.0358
Epoch 164: Train Loss -0.0356
Epoch 165: Train Loss -0.0360
Epoch 166: Train Loss -0.0360
Epoch 167: Train Loss -0.0351
Epoch 168: Train Loss -0.0362
Epoch 169: Train Loss -0.0358
Epoch 170: Train Loss -0.0354
Epoch 171: Train Loss -0.0364
Epoch 172: Train Loss -0.0355
Epoch 173: Train Loss -0.0357
Epoch 174: Train Loss -0.0359
Epoch 175: Train Loss -0.0357
Epoch 176: Train Loss -0.0356
Epoch 177: Train Loss -0.0358
Epoch 178: Train Loss -0.0359
Epoch 179: Train Loss -0.0356
Epoch 180: Train Loss -0.0354
Epoch 181: Train Loss -0.0361
Epoch 182: Train Loss -0.0361
Epoch 183: Train Loss -0.0356
Epoch 184: Train Loss -0.0354
Epoch 185: Train Loss -0.0355
Epoch 186: Train Loss -0.0353
Epoch 187: Train Loss -0.0356
Epoch 188: Train Loss -0.0361
Epoch 189: Train Loss -0.0360
Epoch 190: Train Loss -0.0358
Epoch 191: Train Loss -0.0354
Epoch 192: Train Loss -0.0352
Epoch 193: Train Loss -0.0358
Epoch 194: Train Loss -0.0356
Epoch 195: Train Loss -0.0361
Epoch 196: Train Loss -0.0353
Epoch 197: Train Loss -0.0360
Epoch 198: Train Loss -0.0360
Epoch 199: Train Loss -0.0360
GPU Epilog Script v0.30
GPU Prolog Script v1.14
This is a GPU node.
Enough GPUs available.
Allocating card 1
Loading real data from data/processed/crypto_data.parquet...
Prepared 34548 sequences of length 64
Using annualization factor: 2190.00 for timeframe: 4h
Launching HPC Training from config: config.yaml
Epoch 0: Train Loss -0.0758
Epoch 1: Train Loss -0.0899
Epoch 2: Train Loss 0.1065
Epoch 3: Train Loss 0.0947
Epoch 4: Train Loss 0.1063
Epoch 5: Train Loss 0.1062
Epoch 6: Train Loss 0.1064
Epoch 7: Train Loss 0.1060
Epoch 8: Train Loss 0.1062
Epoch 9: Train Loss 0.1060
Epoch 10: Train Loss 0.0625
Epoch 11: Train Loss -0.1039
Epoch 12: Train Loss 0.0648
Epoch 13: Train Loss 0.1062
Epoch 14: Train Loss 0.1064
Epoch 15: Train Loss 0.1067
Epoch 16: Train Loss 0.1062
Epoch 17: Train Loss 0.1061
Epoch 18: Train Loss 0.1063
Epoch 19: Train Loss 0.1061
Epoch 20: Train Loss 0.1064
Epoch 21: Train Loss 0.1063
Epoch 22: Train Loss 0.1064
Epoch 23: Train Loss 0.1064
Epoch 24: Train Loss 0.1062
Epoch 25: Train Loss 0.1067
Epoch 26: Train Loss 0.1063
Epoch 27: Train Loss 0.1059
Epoch 28: Train Loss 0.1064
Epoch 29: Train Loss 0.1061
Epoch 30: Train Loss 0.1064
Epoch 31: Train Loss 0.1065
Epoch 32: Train Loss 0.1064
Epoch 33: Train Loss 0.1062
Epoch 34: Train Loss 0.1061
Epoch 35: Train Loss 0.1060
Epoch 36: Train Loss 0.1064
Epoch 37: Train Loss 0.1063
Epoch 38: Train Loss 0.1065
Epoch 39: Train Loss 0.1062
Epoch 40: Train Loss 0.1064
Epoch 41: Train Loss 0.1063
Epoch 42: Train Loss 0.1064
Epoch 43: Train Loss 0.1061
Epoch 44: Train Loss 0.1062
Epoch 45: Train Loss 0.1062
Epoch 46: Train Loss 0.1063
Epoch 47: Train Loss 0.1064
Epoch 48: Train Loss 0.1066
Epoch 49: Train Loss 0.1060
Epoch 50: Train Loss 0.1062
Epoch 51: Train Loss 0.1062
Epoch 52: Train Loss 0.1062
Epoch 53: Train Loss 0.1062
Epoch 54: Train Loss 0.1061
Epoch 55: Train Loss 0.1063
Epoch 56: Train Loss 0.1064
Epoch 57: Train Loss 0.1062
Epoch 58: Train Loss 0.1059
Epoch 59: Train Loss 0.1061
Epoch 60: Train Loss 0.1060
Epoch 61: Train Loss 0.1063
Epoch 62: Train Loss 0.1064
Epoch 63: Train Loss 0.1060
Epoch 64: Train Loss 0.1063
Epoch 65: Train Loss 0.1065
Epoch 66: Train Loss 0.1063
Epoch 67: Train Loss 0.1066
Epoch 68: Train Loss 0.1062
Epoch 69: Train Loss 0.1061
Epoch 70: Train Loss 0.1064
Epoch 71: Train Loss 0.1063
Epoch 72: Train Loss 0.1061
Epoch 73: Train Loss 0.1063
Epoch 74: Train Loss 0.1062
Epoch 75: Train Loss 0.1062
Epoch 76: Train Loss 0.1064
Epoch 77: Train Loss 0.1063
Epoch 78: Train Loss 0.1062
Epoch 79: Train Loss 0.1063
Epoch 80: Train Loss 0.1063
Epoch 81: Train Loss 0.1065
Epoch 82: Train Loss 0.1065
Epoch 83: Train Loss 0.1062
Epoch 84: Train Loss 0.1062
Epoch 85: Train Loss 0.1064
Epoch 86: Train Loss 0.1064
Epoch 87: Train Loss 0.1061
Epoch 88: Train Loss 0.1066
Epoch 89: Train Loss 0.1063
Epoch 90: Train Loss 0.1064
